sample_id,fold,ridge_alpha,threshold,baseline_correct,selected_alpha,selected_score,selected_utility
pccv2_n04_dense_r08,2,0.01,0.1,False,4.0,0.33026875126234206,1
pccv2_n04_dense_r09,1,0.01,0.1,True,1.0,0.07103492167049563,0
pccv2_n04_dense_r10,5,0.01,0.1,True,4.0,0.17431266391892175,0
pccv2_n04_dense_r11,4,0.01,0.1,True,1.0,-0.05818217722122969,0
pccv2_n04_dense_r12,3,0.01,0.1,True,4.0,0.28337076939430056,0
pccv2_n04_dense_r13,2,0.01,0.1,True,1.0,-0.028477683400404658,0
pccv2_n04_dense_r14,1,0.01,0.1,True,1.0,-0.0030049327112646827,0
pccv2_n04_dense_r15,5,0.01,0.1,True,1.0,-0.01909145821723838,0
pccv2_n04_dense_r16,4,0.01,0.1,True,1.5,0.1764480028827408,0
pccv2_n04_dense_r17,3,0.01,0.1,True,1.0,0.003945171685251119,0
pccv2_n04_dense_r18,2,0.01,0.1,True,4.0,0.17954027719022342,0
pccv2_n04_dense_r19,1,0.01,0.1,True,1.0,0.040759867283107924,0
pccv2_n04_distractors_r00,5,0.01,0.1,True,1.0,-0.10879945897360248,0
pccv2_n04_distractors_r01,4,0.01,0.1,False,1.0,-0.23975491524923162,0
pccv2_n04_distractors_r02,3,0.01,0.1,True,1.0,-0.006002105076125579,0
pccv2_n04_distractors_r03,2,0.01,0.1,True,1.0,-0.13410893644288965,0
pccv2_n04_distractors_r04,1,0.01,0.1,False,1.0,-0.06426397174746719,0
pccv2_n04_distractors_r05,5,0.01,0.1,True,1.0,-0.10279761138617281,0
pccv2_n04_distractors_r06,4,0.01,0.1,False,1.0,-0.08713363069899814,0
pccv2_n04_distractors_r07,3,0.01,0.1,False,1.0,0.042695003199600116,0
pccv2_n04_distractors_r08,2,0.01,0.1,True,4.0,0.1153433386847667,0
pccv2_n04_distractors_r09,1,0.01,0.1,False,4.0,0.3808747453377138,0
