archive_path	original_local_path	category	lines	sha256
archive/historical_scripts/run_proc_count_gain_dose_response.py	scripts/run_proc_count_gain_dose_response.py	cardinality_steering	942	c3604572e623a6c8a09dd0869367bfe382c971c934a21b31ef5875db0629b848
archive/historical_scripts/run_router_grouped_benchmark.py	scripts/run_router_grouped_benchmark.py	controller_development	773	8f3c7db8cfaae5e1949180442217c761121b08ae652513e122933cb8060917ee
archive/historical_scripts/run_true_oracle_head_beta_screen.py	scripts/run_true_oracle_head_beta_screen.py	dam_oracle	1027	3b206ca94d199f8b80af5c5e2a38e33542454af118a2c61af30b3fb4053d6a86
archive/historical_scripts/run_true_oracle_query_scope_screen.py	scripts/run_true_oracle_query_scope_screen.py	dam_oracle	1051	878f50683ea1983e0978ef55a1c86f18e215bd39eb5237c211eafbf729df549c
archive/historical_scripts/run_v2_compressed_actions_correct.py	scripts/run_v2_compressed_actions_correct.py	v2_action_space	669	c6387440881c6946a85992f80aa707da1824c9157d6bd24e4e962a81ddef9ddc
archive/historical_scripts/run_v2_expanded_downward_confirmation.py	scripts/run_v2_expanded_downward_confirmation.py	cardinality_steering	1005	fb590747b18aa3fb33ecd13e5dd293d550d3ae5b3c7387ec1218afc8588e6e4e
archive/historical_scripts/run_v2_multistrength_wrong_sweep.py	scripts/run_v2_multistrength_wrong_sweep.py	v2_action_space	667	73a7b0784ddfc9ced1a14056f91cba698a4336d6afd1743a81e58ded74106757
archive/historical_scripts/search_dam_compatible_subsets.py	scripts/search_dam_compatible_subsets.py	dam_oracle	669	7592bd694cc1928a567303584f0e882526a65c38170739dc5e7c0111761cf502
archive/historical_scripts/summarize_calibration50.py	scripts/summarize_calibration50.py	sanity_instrumentation	347	698751e4f069a7e1142ca89c566324ab2415a4b4f7f3125034aa75dec812ae90
archive/historical_scripts/test_llama_count.py	scripts/test_llama_count.py	sanity_instrumentation	73	7ae69c0c7f5d994aed0b404037d13e4d4158e201e84156f39bccfd0fdbb0324e
archive/historical_scripts/test_llama_enumeration.py	scripts/test_llama_enumeration.py	sanity_instrumentation	170	53bf655c685e9a12323b36c20e8ff8fa913541cb84d6141c6a4933d7aac54a0f
archive/historical_scripts/test_llama_ledger.py	scripts/test_llama_ledger.py	sanity_instrumentation	183	56ab3d86b5ee69f986d52b61198ece1aef7ccd2519f25ade49a1a3f3182a7eeb
archive/historical_scripts/test_llama_load.py	scripts/test_llama_load.py	sanity_instrumentation	27	242bc3895fd9972cc9b1179e130151f71e9a499e6832fefe07d92ce9e7f7093e
archive/historical_scripts/test_prompt_calibration.py	scripts/test_prompt_calibration.py	sanity_instrumentation	283	f5024a1848ac680aca3b0031f86bc7546e904364efa7ea9298d24f6d0071f8d8
archive/historical_scripts/validate_v2_boundary_generation.py	scripts/validate_v2_boundary_generation.py	cardinality_steering	188	05072312b7f6ffa18620745a455b392208dbc5fe9b73121ee989979a010d8164
